,area_type,availability,location,total_sqft,bath,balcony,price,bhk
0,Super built-up  Area,0,Electronic City Phase II,1056.0,2.0,1.0,39.07,2
1,Plot  Area,1,Chikka Tirupathi,2600.0,5.0,3.0,120.0,4
2,Built-up  Area,1,Uttarahalli,1440.0,2.0,3.0,62.0,3
3,Super built-up  Area,1,Lingadheeranahalli,1521.0,3.0,1.0,95.0,3
4,Super built-up  Area,1,Kothanur,1200.0,2.0,1.0,51.0,2
5,Super built-up  Area,1,Whitefield,1170.0,2.0,1.0,38.0,2
6,Super built-up  Area,0,Old Airport Road,2732.0,4.0,2.0,204.0,4
8,Super built-up  Area,1,Marathahalli,1310.0,3.0,1.0,63.25,3
10,Super built-up  Area,0,Whitefield,1800.0,2.0,2.0,70.0,3
11,Plot  Area,1,Whitefield,2785.0,5.0,3.0,295.0,4
12,Super built-up  Area,1,7th Phase JP Nagar,1000.0,2.0,1.0,38.0,2
13,Built-up  Area,1,Gottigere,1100.0,2.0,2.0,40.0,2
14,Plot  Area,1,Sarjapur,2250.0,3.0,2.0,148.0,3
15,Super built-up  Area,1,Mysore Road,1175.0,2.0,2.0,73.5,2
16,Super built-up  Area,1,Bisuvanahalli,1180.0,3.0,2.0,48.0,3
17,Super built-up  Area,1,Raja Rajeshwari Nagar,1540.0,3.0,3.0,60.0,3
18,Super built-up  Area,1,other,2770.0,4.0,2.0,290.0,3
19,Super built-up  Area,1,other,1100.0,2.0,2.0,48.0,2
20,Built-up  Area,1,Kengeri,600.0,1.0,1.0,15.0,1
21,Super built-up  Area,0,Binny Pete,1755.0,3.0,1.0,122.0,3
23,Super built-up  Area,1,Bellandur,1767.0,3.0,1.0,103.0,3
24,Super built-up  Area,0,Thanisandra,510.0,1.0,0.0,25.25,1
25,Super built-up  Area,0,other,1250.0,3.0,2.0,56.0,3
26,Super built-up  Area,1,Electronic City,660.0,1.0,1.0,23.1,2
27,Built-up  Area,0,Whitefield,1610.0,3.0,2.0,81.0,3
28,Super built-up  Area,0,Ramagondanahalli,1151.0,2.0,2.0,48.77,2
29,Super built-up  Area,1,Electronic City,1025.0,2.0,1.0,47.0,3
30,Super built-up  Area,0,Yelahanka,2475.0,4.0,0.0,186.0,4
31,Super built-up  Area,1,Bisuvanahalli,1075.0,2.0,1.0,35.0,3
32,Super built-up  Area,1,Hebbal,1760.0,2.0,2.0,123.0,3
33,Super built-up  Area,1,Raja Rajeshwari Nagar,1693.0,3.0,3.0,57.39,3
34,Built-up  Area,1,Kasturi Nagar,1925.0,3.0,2.0,125.0,3
35,Super built-up  Area,0,Kanakpura Road,700.0,2.0,1.0,36.0,2
36,Super built-up  Area,1,Electronics City Phase 1,1070.0,2.0,1.0,45.5,2
37,Super built-up  Area,1,Kundalahalli,1724.0,3.0,2.0,125.0,3
38,Super built-up  Area,1,Chikkalasandra,1290.0,2.0,2.0,56.12,3
39,Built-up  Area,1,Uttarahalli,1143.0,2.0,2.0,45.0,2
40,Built-up  Area,1,Murugeshpalya,1296.0,2.0,2.0,81.0,2
41,Super built-up  Area,0,Sarjapur  Road,1254.0,3.0,2.0,38.0,3
42,Super built-up  Area,1,other,600.0,1.0,0.0,38.0,1
43,Plot  Area,1,Yelahanka,660.0,1.0,0.0,48.0,1
44,Super built-up  Area,0,Kanakpura Road,1330.74,2.0,2.0,91.79,2
46,Super built-up  Area,1,Doddathoguru,970.0,2.0,0.0,33.0,2
47,Super built-up  Area,0,Whitefield,1459.0,2.0,1.0,94.82,2
49,Built-up  Area,1,other,869.0,2.0,1.0,36.0,2
50,Super built-up  Area,1,other,1270.0,2.0,1.0,50.0,2
51,Super built-up  Area,0,Bhoganhalli,1670.0,3.0,1.0,99.0,3
52,Built-up  Area,1,Whitefield,2010.0,3.0,2.0,91.0,3
53,Super built-up  Area,1,Lakshminarayana Pura,1185.0,2.0,2.0,75.0,2
54,Super built-up  Area,1,Yelahanka,1600.0,2.0,3.0,75.0,3
55,Super built-up  Area,1,Begur Road,1200.0,2.0,2.0,44.0,2
56,Built-up  Area,0,Devanahalli,3210.0,2.0,2.0,192.0,4
59,Super built-up  Area,1,other,840.0,2.0,2.0,45.0,2
61,Super built-up  Area,1,other,845.0,2.0,1.0,55.0,2
63,Built-up  Area,1,Varthur,1160.0,2.0,2.0,44.0,2
64,Built-up  Area,1,Bommanahalli,3000.0,8.0,0.0,140.0,8
65,Super built-up  Area,1,Doddathoguru,1100.0,2.0,1.0,62.0,2
66,Super built-up  Area,0,Gunjur,1140.0,2.0,3.0,43.0,2
67,Super built-up  Area,1,Marathahalli,1220.0,2.0,1.0,57.0,2
69,Super built-up  Area,1,Kanakpura Road,1005.0,2.0,1.0,36.68,2
